,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
1,[ 511.6129 1219.7742],[ 511.77646 1228.0588 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 525.67065 1237.6587 ],[ 515.565  1238.1929],[ 522.03937 1234.6456 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,[ 516.81537 1363.9846 ],[ 521.9453 1364.9219],,,,,,,,,,,,,[ 519.22986 1364.3678 ],[ 519.00714 1363.7715 ],[ 514.77844 1360.9761 ],[ 522.4258 1376.7742],[ 522.3093 1369.036 ],[ 527.3605 1375.4186],[ 519.75   1377.9521],[ 526.34595 1375.8324 ],[ 521.15295 1362.4706 ],[ 526.68097 1349.9386 ],[ 534.7679 1357.4048],[ 535.821  1356.1357],[ 546.5602 1347.1296],[ 555.1454 1367.2158],[ 546.1055 1359.0092],[ 542.56 1363.25],[ 557.6923 1360.8269],[ 551.9208 1362.505 ],[ 555.20184 1362.3027 ],[ 556.807 1355.924],[ 547.     1367.7577],[ 536.9753 1348.0618],[ 537.3697 1344.9575],[ 537.77295 1348.773  ],[ 554.3672 1340.6914],[ 550.6593 1334.3982],[ 547.53937 1336.5879 ],[ 542.76544 1341.9321 ],[ 534.1844 1338.7933],[ 541.7071 1339.8661],[ 542.41766 1328.2706 ],[ 542.05493 1340.6868 ],[ 535.0263 1347.0088],[ 548.5235 1349.047 ],[ 541.57263 1349.735  ],,[ 544.2714 1348.5643],[ 549.05927 1350.7407 ],[ 544.34247 1355.952  ],[ 544.821  1354.5988],[ 541.29517 1353.3735 ],[ 540.4647 1353.8706],[ 548.7219 1356.142 ],[ 548.3947 1358.7828],[ 554.25696 1358.0764 ],[ 548.0276 1357.8759],[ 547.9219 1359.7812],[ 554.65546 1363.4454 ],[ 552.06165 1354.4932 ],[ 557.8412 1337.3412],[ 556.2798 1336.3452],[ 555.13293 1333.943  ],[ 550.2628 1338.3269],[ 556.6183 1337.6936],[ 551.66266 1339.0903 ],[ 554.8087 1344.9479],[ 556.2143 1332.987 ],[ 554.3515 1315.3762],[ 545.9821 1311.2916],[ 544.56335 1312.2887 ],[ 533.1608 1305.6294],[ 539.7407 1315.8889],[ 538.77625 1319.0839 ],[ 540.4236 1318.368 ],[ 545.19446 1316.3055 ],[ 539.87415 1314.7947 ],[ 527.21704 1304.6128 ],[ 530.9825 1305.0658],[ 525.88153 1305.1138 ],[ 538.93243 1293.5    ],[ 535.02264 1303.8054 ],[ 542.2865 1292.1742],[ 541.10284 1294.08   ],[ 554.94965 1301.036  ],[ 556.087  1299.7609],[ 559.60486 1303.5646 ],[ 554.37683 1302.8116 ],[ 566.1348 1310.4045]
3,[540.5568 737.75  ],[539.79877 741.2195 ],,,,,,,,,,,,,,,,,[541.5982 735.1607],[546.42676 732.15924],[538.49164 732.31287],[549.44446 727.9736 ],[568.37067 730.0776 ],[554.0311  732.23553],[561.61536 737.3626 ],[561.56995 737.55597],[564.32336 744.01495],[569.522  754.3512],[559.6667 744.9948],[553.0886  742.13293],[562.3125 731.6736],[552.1241 730.9708],[559.26056 730.993  ],[567.44556 740.0297 ],[553.1103  725.07355],[553.6458 727.    ],[547.3301 733.1068],[543.825  740.5833],[552.75146 747.574  ],[549.2     741.17224],[548.8084 734.5449],[551.9294 727.0353],[535.6796 735.3495],[546.93805 733.13275],[546.4215  724.49585],[542.7889 733.3778],[545.51294 722.96893],[559.52155 723.29803],[560.0816  727.12244],[552.41907 725.5436 ],[549.7407 720.2639],[554.118   722.64044],[561.61536 734.46155],[563.67035 731.26373],[574.6    732.7476],[574.0249 732.2587],[567.7647  731.64703],[566.2283  729.23914],[574.9018 725.0982],[567.3333  723.69446],[574.2308 719.9327],[578.7018 723.5439],[569.8333 721.6863],[579.28723 710.1649 ],[564.7815 704.    ],[562.94354 700.4032 ],[548.9262 700.2541],[556.6842 697.807 ],[552.18646 696.4068 ],[537.4329  689.43726],[561.3791  684.27454],[546.223  670.4892],[537.81195 677.7431 ],[526.4545 666.6553],[522.33813 650.7482 ],[534.1539 645.4211],[540.21783 646.58417],[541.58826 645.9902 ],[546.70526 642.7579 ],[541.49036 641.7692 ],[538.89014 642.25275],[542.6092 643.5172],[535.5851 642.9681],[540.72296 655.83105],[544.44684 654.7234 ],[544.4267 655.24  ],[532.0526 645.2368],[532.1622 645.6014],[536.0424 643.6606],[526.0922 630.1277],[521.1094 628.625 ],[524.3885 625.223 ]
4,[573.27155 637.24506],[576.66907 644.43164],,,,[558.7842 660.3957],,[537.88495 670.16815],[537.6585 669.    ],[535.81946 678.2083 ],[534.7086 691.5232],[544.80536 678.4228 ],[539.1078 676.1856],[536.5   677.375],[531.94086 676.38464],[532.2407  675.23456],[525.31506 682.5753 ],[529.8182 699.2013],,,,,,,,,,[537.2671  680.13043],[527.35   670.3688],[526.95154 673.58185],[539.4747 670.0886],[529.0458  670.79083],[536.77325 667.26166],[511.47137 669.52423],[505.94263 658.61475],[538.8734  656.85443],[534.8049  654.63416],[532.4556 661.5444],[536.6909  679.58185],[532.0789 684.1316],,[533.0265 670.7417],[525.78674 668.7794 ],[534.274  668.8014],[533.5822  659.34247],[531.9197  667.70074],[520.73285 660.2094 ],[539.2632 667.8797],[531.68616 670.24817],[531.4853  671.19855],[530.2701 670.0073],[534.3643 670.3721],[529.41406 674.7656 ],[533.7413 670.6294],[531.8855 669.8168],[530.74243 668.99243],[539.2427 671.1103],[525.1357 666.8693],[533.5928 662.7647],[528.068 660.616],[529.27216 645.6076 ],[533.9677  649.94836],[526.39105 647.4039 ],[514.4039  659.77563],[527.5274 663.6918],[517.8451  664.93665],[510.9026 673.3182],[517.53595 669.8758 ],[521.8252 664.1958],[528.4747 678.019 ],[539.77295 659.23145],[535.6667 648.25  ],,[538.58026 643.3169 ],[527.1841 636.8577],[525.4932  628.17566],[523.6928  628.10455],[524.8     626.82666],[526.55975 625.61005],,,[521.93005 626.63635],[514.4091 626.8712],[505.0451 617.1429],[509.1898 615.5839],[510.33334 617.876  ],[508.98495 618.4436 ],[510.80148 620.0294 ],[511.14517 619.75806],[514.0992 622.0661],[507.6281 621.1157],[510.4762  616.94446]
5,[ 690.91345 1158.5529 ],[ 690.9945 1166.5275],,,,[ 683.6713 1191.2963],,,,,,,,,,,,[ 666.49036 1186.4595 ],,,,,,,,,,,,,,,,[ 672.8675 1177.8715],,,,,[ 683.1218 1159.6302],[ 676.4912 1142.3955],,[ 683.14954 1131.0327 ],[ 682.551 1139.932],,[ 687.425  1133.3688],[ 678.7653 1133.0918],[ 673.3399 1127.0985],[ 686.83673 1128.7194 ],[ 678.3414 1131.2212],[ 679.5787 1133.7177],[ 679.9474 1131.4402],[ 687.0048 1132.0529],[ 688.2535 1152.7373],[ 670.0347 1143.6111],[ 663.1438 1143.3595],[ 659.66235 1141.3376 ],[ 664.9073 1144.0398],[ 665.05194 1143.461  ],[ 664.71277 1155.0054 ],[ 662.01685 1136.3651 ],[ 668.3172 1127.1022],[ 681.935 1118.795],[ 674.0244 1115.956 ],[ 687.6581 1105.4645],[ 690.807  1095.4562],[ 691.5161 1094.4086],[ 699.01263 1085.8734 ],[ 705.19147 1083.8617 ],[ 696.9832 1083.4286],[ 711.7365 1092.2574],[ 711.8346 1072.594 ],[ 711.5706 1064.8882],[ 719.7054 1062.8483],[ 721.0496 1057.8937],[ 709.56   1048.2134],[ 715.5478 1055.7834],[ 715.90247 1059.3231 ],[ 716.7039 1061.4144],[ 720.8472 1059.993 ],[ 716.1918 1058.0685],[ 714.0526 1059.0066],[ 719.4472 1060.0994],[ 712.1929 1058.1   ],[ 716.4453 1058.4062],[ 722.6111 1056.6945],[ 717.0115 1045.6947],[ 718.25   1043.3724],[ 712.6272 1048.7041],[ 712.82825 1048.9509 ],[ 716.2952 1048.0476],[ 715.574  1051.4615],[ 716.0238 1046.5416]
6,[ 740.84686 1139.5045 ],[ 739.80664 1148.1533 ],,,,[ 724.6075 1165.6589],,,,,,,,,,,,[ 736.7847 1169.375 ],,,,,,,,,,,,,,,,[ 737.5966 1169.8907],,,,,[ 742.4365 1164.7301],[ 746.1009 1160.5963],,,,,,,,,,,,,,,,,,,,,,,,,,,,[ 736.2579 1148.6038],[ 731.2358 1147.7155],[ 738.9684 1158.9241],[ 734.67426 1145.5303 ],[ 733.5    1148.5759],[ 741.4138 1145.8276],[ 734.5255 1132.0714],[ 727.1881 1129.4785],[ 716.5    1139.3358],[ 730.0622 1138.3063],[ 733.71606 1142.0402 ],[ 736.2705 1136.8068],[ 730.1805 1135.0146],[ 745.141 1127.652],[ 750.2549 1124.8562],[ 743.59875 1123.7377 ],[ 748.5135 1127.2343],[ 758.7638 1115.4016],[ 764.0909 1104.5664],[ 763.3571 1103.9429],[ 763.4792 1105.757 ],[ 754.3576 1112.2545],[ 759.1429 1117.015 ],[ 752.08606 1130.3074 ],[ 754.9625 1126.1792]
7,[774.3333 310.046 ],[761.1818  311.38385],[742.22296 316.52026],[740.1329 323.3007],[742.7744  320.90854],[743.8889  334.44446],[753.3484  321.08386],[758.33124 324.45224],[760.5443 321.2405],[756.93195 324.17688],[759.9177  330.17722],[764.2344 324.5547],[761.6418  326.24628],[755.8028 324.331 ],[750.5541 328.2973],[751.6045  317.73135],[745.2583  326.69537],[744.69183 345.05032],[757.00726 329.16666],[756.70886 326.6709 ],[750.6331  327.18936],[758.      322.69342],[755.76294 331.57037],[755.02026 315.20947],[755.5412  321.20587],[752.59576 321.03546],[756.1579 320.9671],[759.8     331.60626],[753.5379  321.83447],[749.2558  321.20154],[755.6241  317.57144],[757.15326 322.83942],[760.3933  320.71335],,[753.04346 323.44202],[752.91547 330.10562],[749.14166 329.75   ],[749.6818  329.93506],,,[756.1449 320.0797],[751.64746 325.92087],[744.98486 321.9394 ],[753.51746 322.3007 ],[752.30536 316.542  ],,[744.97455 324.44067],[756.4188  324.02563],,,,,[750.7339  328.67743],[752.439  322.1382],[748.4609  323.30435],[746.3543  322.17322],,[750.3932  326.17947],[757.59827 323.37607],[751.40497 321.7934 ],[759.5984  318.59015],[765.4065  322.47156],[757.2093 321.3411],[760.3333  321.84058],[758.5839  321.75183],[758.8662 318.7465],,[758.8921  324.15826],[753.95    322.82144],,[758.3759 320.8346],[755.7407  323.71112],[755.76746 338.72092],,,,,,,,,,,,,,,,,,,
8,[910.5172 750.4384],[909.7676  755.85944],[881.0411 756.1827],[876.96173 759.8579 ],[882.6465  759.20465],[888.37726 781.85455],,,,[896.55634 777.1268 ],[893.73773 779.8771 ],,,,[884.8129 781.    ],[887.4659 782.375 ],[884.859  795.4978],[900.54706 802.67645],[892.9518 794.6009],[894.96234 798.0161 ],[885.66364 800.0909 ],,,,[888.3333  798.85834],[882.63513 796.3919 ],[879.88654 797.12054],[881.397  809.4809],[872.944  815.9569],[868.62714 820.839  ],[883.9474 815.3904],[873.08484 811.9911 ],[876.38605 807.9721 ],[871.4414  826.30347],[873.2535 809.1843],[875.12616 816.14954],[873.4639 808.5051],[870.1226 816.4104],[880.7063 822.5524],,,,,,,,,,[872.00916 804.1101 ],[874.06757 807.97296],[872.46075 805.46075],[879.4721  806.64465],[872.7475  814.67676],[872.81866 807.98444],[871.7656 807.7708],[865.6458 806.5   ],[872.83905 808.8908 ],[871.21344 811.25   ],[879.68396 812.1698 ],[873.78406 814.9953 ],[880.8571 810.4729],[886.96313 812.4378 ],[878.56714 809.3532 ],[881.6146 808.6537],[882.9423 808.0144],[884.9903 804.1456],[877.71265 813.3678 ],[882.60425 807.2032 ],[876.9543 802.5228],[875.92 805.76],,[874.3164 808.1642],[879.8817 805.9426],[882.7994  802.12463],[887.79755 791.3264 ],[874.6323 802.652 ],[877.60565 806.1136 ],[880.099  805.7406],[883.3146 808.1689],[880.4188 798.943 ],[874.7148  801.99646],[877.55884 812.17645],[874.77234 812.9187 ],[881.4493 813.3623],[886.5496  812.23663],[886.17615 813.82385],[885.5899 814.5843],[886.631  817.6964],[877.3961 813.2987],[878.69104 820.51685],[871.71344 820.0877 ],[878.5106 817.1064]
9,[1013.15717 1198.1213 ],[1019.64014 1195.6351 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1002.3824 1186.8365],[ 994.16077 1183.7124 ],[ 999.4222 1192.9424],,[1001.24963 1195.1085 ],,,[ 996.0885 1192.5548],[ 999.78235 1193.153  ],,[ 997.656  1193.4885],[1000.95197 1193.3151 ],[ 998.0723 1189.2473],[ 995.55414 1190.0533 ],[ 996.3764 1190.8573],[ 997.26807 1190.3085 ],[ 999.9209 1193.2117],[ 998.7411 1196.1521],[1000.11584 1185.1814 ]
10,,[  51.778847 1213.8029  ],[  26.649572 1219.8975  ],[  22.886555 1227.4202  ],[  28.303482 1216.3682  ],[  32.903225 1221.6968  ],[  22.32971 1209.5906 ],[  20.970415 1215.4852  ],[  26.301775 1213.0592  ],[  25.710526 1216.4895  ],,[  27.197628 1202.2688  ],[  22.003437 1197.6083  ],[  16.649403 1196.2072  ],[  11.221239 1200.9425  ],[  12.557214 1200.8657  ],[   4.856322 1207.0057  ],[   3.821839 1203.5     ],[  16.33071 1196.0709 ],[  23.084034 1190.7395  ],[  13.191919 1193.9596  ],[  17.267326 1192.703   ],[   2.9347825 1208.8586   ],[   3.4782608 1200.3652   ],,[   8.2350235 1194.9078   ],[  10.044444 1197.9445  ],[  13.645349 1210.9651  ],[  21.397058 1210.2059  ],[  19.848837 1214.4941  ],[  29.731817 1213.341   ],[  22.740158 1209.0552  ],[  31.36418 1207.9044 ],[  48.36111 1213.5555 ],,,,,[  46.38095 1205.6984 ],,,,,,,,,,,,,,,,,,,,,[  36.849857 1200.6997  ],[  49.202045 1196.2251  ],[  44.311474 1187.2842  ],[  30.072243 1199.9886  ],[  39.92105 1185.4843 ],[  38.328125 1185.8021  ],[  41.61905 1182.7301 ],[  37.050507 1169.1718  ],[  40.376106 1166.7478  ],[  54.376343 1175.2849  ],[  57.372883 1189.7966  ],,[  55.547485 1179.6257  ],[  45.33077 1181.3231 ],[  41.140186 1176.7664  ],,[  39.51842 1181.4526 ],[  40.401485 1187.8848  ],[  43.32365 1185.4938 ],[  50.06746 1183.238  ],[  45.83871 1180.5254 ],[  42.471962 1182.4346  ],[  45.266666 1183.7572  ],[  44.336494 1182.7535  ],[  49.8673 1182.3033],[  53.985847 1182.9623  ],[  53.917873 1181.9034  ],[  50.839806 1182.1407  ],[  49.612022 1183.0819  ],[  53.27014 1183.2986 ],[  66.570656 1204.451   ],[  61.796875 1199.0573  ],[  69.004974 1192.9055  ]
